kwookwilkwowit,	kwookwilkowit,
n' ixiwyo ihkó:n ya,	exactamente, las hojas son, 
A:, no: iwki.	Ah, así son.
Sayoh ne: <i>por</i>, tak n' tepitsi:n kipata porin moskaltia <i>más</i> wehkapan,	Quizá diferencía un poco porque crece más alto que el otro
wa:n kowyoh. Kowyohtoma:wak.	y el tronco es más grueso.
Wa:n okseki tein tikilwiah mowih para pahti, <i>bueno</i> yo:n okseki a:mo nikmati ox kikwih para pahti, pero tein neh nikmattok kikwih para pahti,	Y el otro, al que le llamamos <i>mowih</i>, que se ocupa para medicina, bueno, la otra planta no sé si la ocupan como medicinal, pero al que conozco, la ocupan para medicina,
yehwa de yo:n pisi:ltik, tein yo:n tehwa:n tikilwiah, <i>este</i>, mowih, yo:n para kikwih para pi:piltsitsi:n, ke:meh i:n tein kipiah, <i>este</i>,	esa, la de hojas pequeñas, al que nosotros le llamamos <i>mowih</i>, esa, la que ocupan para niños que tienen, 
kipiah yo:n se: kokolis eliwis tsahtsih.	tienen una enfermedad rara, los niños lloran desesperadamente.
Yehwa yo:n mowih kimolo:ntiah wa:n tsiktsi:n kintai:ltiah wa:n seki ika kina:ltiah.	Entonces hierven las hojas del <i>mowih</i> y los bañan con el agua y una poquita les dan de beber.
Yehwa yo:n neh nikmattok mono:tsa mowih para pahti.	Esa es la que yo conozco como mowih y es medicina.
Wa:n oksé:, oksé: n' taman,	Y la otra planta, 
kihtowah <i>que</i> mowih	dicen que es <i>mowih</i>
Tein <i>más</i> we:i, <i>más</i> we:i moskaltia tikihtowa.	El más grande, la que dicen que crece más alto.
wa:n neli i:pa no: n'mattok <i>que</i> yehwa neli yo:n pilimeh, tein yo:n mohka:kwih kinilwiah, yehwa yo:n ika kina:ltiah neli.	y es verdad, de por sí sé que cuando los niños tienen como susto, los bañan con el agua del <i>mowih</i>
N'mattok <i>que</i> yehwa yo:ni neli ika kina:ltiah m' pilimeh, kihtowah para mah kelka:wa de yo:n tsahtsiskwi.	Sé que con esa agua bañan a los niños, dicen que con eso pueden curarse cuando lloran desesperdamente.
<i>Porque</i> neli yo:n kihtowah ye:ktsahtsih, neli seki i:ksá: <i>hasta</i> i:xtayowah.	Porque es verdad de lo que dicen, lloran desesperadamente, a veces algunos niños se desmayan de tanto llorar.
teihsá: <i>más</i> pahti, neh i:pa yehwa sah yo:ni nikmattok.	que cure otra enfermedad, yo nada más eso sé.
Pos yo:n a:mo nikmati no:, neh nimolwia <i>que</i> xa: ikowyotsi:n kito:kah.	Pues respecto a eso, no sé, yo me imagino que quizá lo siembran el tallo.
<i>Porque</i> neh a:mo ke:man nikita komo xo:chiowa oso teyowa.	Porque yo nunca he visto que floree o que tenga semillas.
<i>Porque</i> nejó:n a:mo, a:mo n'mati ox no: teyowa yo:ni, a:mo ke:man nikita ne:n ixo:chio.	Porque eso no sé si da frutos, nunca le he visto flores.
No: nió:n, no: nió:n nikmati neh komo xo:chiowa, no: neli tehwa:n ne: kaltsi:ntan neli no: onkaya se:,	No estoy enterada si alguna vez florea, pues es cierto, allá, cerca de mi casa también había una mata,
pero wa:ktok a <i>porque</i> neli tapialmeh kikwah.	pero ya está secándose porque se ahí se alimentan los animales.
Wa:n a:mo ke:man nikita ox xo:chiowa, pero neh nimolia <i>que</i> xa: ikowyotsi:n no: kito:kah wa:n selia.	Y nunca la he visto que floree pero yo me imagino que a lo mejor siembran el tallo y retoña.
Yehwa yo:n neh nikahsika:matisnekia.	Eso es lo que yo quería saber.
<i>o</i> xa sayoh no: kite:kakilih.	o quizà solamente lo escuchó de otra persona.
A:mo. Yo:n neh i:pa no: nikakilia:ya no:má:n, kihtowa <i>que</i> yehwa yo:n tein tsahtsiskwih m' pilimeh, yehwa yo:n mah ika kina:lti:ka:n wa:n kihtowah <i>que</i> kelka:wah.	No. Eso lo escuchaba de mi mamá, dice que cuando los niños lloran desesperadamente, que los bañen con el agua del <i>mowih</i> y poco a poco se les va quitando esa enfermedad de llorar mucho.
Pero neh a:mo ke:man nikwik de yo:n xiwtsi:ni, pero nikmattok kihtowah neli <i>que</i> pahti.	Pero yo nunca ocupé las hojas de esa planta, pero sí sé que dicen que esa planta es medicinal.
Pero kihtowah neli <i>que, que</i> yehwa yo:n komo tsahtsiskwih m' pilimeh pos ika yo:n kina:ltiah wa:n neli yo:n tikihtowa kintai:ltiah tsiktsi:n,	Pero solamente cuando los niños lloran mucho, lloran desperadamente, los bañan con el agua hervida de esa planta y una poquita les dan de beber,
wa:n, wa:n nejó:n kina:ltiah ika seki a wa:n no: kelka:wah de yo:n tsahtsiskwih. Neh yehwa yo:ni nikmattok,	y el resto del agua hervida de la planta lo ocupan para bañarlo, entonces al llorar ya no quedan morados. Eso es lo que yo sé,
wa:n neli i:pa nikakilia:ni note:iskaltihka:w neh ne:chilwia:ya.	es verdad, yo le oía a mi madre, me lo contaba.
Pero a:mo ke:man nikwih neh yo:n xiwtsi:ni pero pos kihtowah neli <i>que</i> pahti.	Pero yo nunca ocupé esa planta pero pues dicen que es medicinal.
Ke:mah, <i>porque</i> kimattokeh <i>que</i> pahti.	Si, pues saben que es medicinal.
Ke:mah.	Si.
Pos yehwa yo:n neh nimitsilia, neh niki:xmattok neli yo:n sentaman tein neh nimitsilia yo:n kowtsí:n. Pero a:mo, a:mo, a:mo n'mati kox pahti yo:n. Tein neh nikmattok neli <i>que</i> pahti, yehwa n' tein pisi:ltik nimitsilia, yo:n okseki pos,	Pues es eso lo que yo te digo, yo solamente conozco de esa planta que te cuento. Pero no, no, no sé si es medicinal esa planta. Pues yo sé que es medicinal es la que tinen hojas pequeñas  y de la otra pues, 
no: tikmatih <i>que</i> ihkó:n mono:tsa no: mahyá: kihtowah <i>que</i>, ki:xmatih <i>que</i>iwki yehwa yo:n mono:tsa iwki no: ke:meh yo:n okseki,	pues también sabemos que dicen que así se llama, así la conocen esa planta, tiene el mismo nombre que la otra planta,
<i>porque</i> tiki:xmatiliah n' ixo:chiotsi:n wa:n ixiwyotsi:n,	la reconocemos por el tipo flor y la hoja,
wa:n ikowyotsi:n, nochi, nochi iwkitik a.	y el tallo es parecido al otro.
No: iwtik a. Sanoke tepitsi:n kipata de yo:n porin wehkapania wa:n tepitsi:n <i>más</i> kowyohtoma:wak. Ajá, yehwa yo:ni.	Es muy parecido, solamente se diferencia porque la otra planta crece más alta y el tronco es más grueso. Aha,  es eso.
Ta: komo tawelita no: n' ka:mpa tsi:nto:ktok kwaltsi:n <i>hasta</i> ta:lpan moso:sowa ata.	Si donde está la mata sembrada, se adapta muy bien, la planta se desarrolla muy bien, las ramitas se extendien hasta el suelo. 
Ke:mah.	Sí
Eh, <i>porque</i> nejó:n momahma:ytia kwaltsi:n wa:n neli no: <i>hasta</i> ta:lpan moso:sowa pero neli komo a:mo teh kikwa, pero komo kikwah se: tapialtsí:n neli pos no: iwki wa:ki a.	Si, porque esas plantas se ramifican y es cierto, que las ramas se extienden hasta el suelo siempre y cuando no se coman los animales, porque si los animales se alimentan de esta planta, se seca. 
Ke:mah, neh yehwa yo:ni, ihko:ni sah neh nikmattok. Mm.	Si, yo nada más eso, nomás eso sé de esa planta. Mm.
<i>Pues</i> tikmatis welis ke:mah, eski no:, no: yehwa, no: iwki mono:tsa mowih.	Pues quizás sea posible, quizá también, esa planta también se llama <i>mowih</i>.
Tikmatis <i>cada</i> xiwtsitsí:n ihkó:n teihsá: kowtsí:n, xiwtsí:n,	Sabes que cada planta o arbolito,
onkak o:me taman, onkak <i>hasta</i> e:yi taman, pero a:mo nochi tikihi:xmatih.	hay dos o hasta tres tipos, pero no todos los conocemos.
Wa:n ta:taman no: n' kowtsitsí:n mahyá: ke:meh tehwa:n tikihtowah. Pos, <i>este</i>,	Y son diferentes los arbolitos, como decimos. Pues, este,
Ke:mah.	Sí.
Pero tein tikmattokeh <i>que</i> para pahti pos tikmattokeh para pahti.	Pero de la que sabemos que es medicinal pues lo sabemos perfectamente.
Ke:mah.	Sí.
Ke:mah, pero neli pos nejó:n, neli tein te:iliah seki para pahti pos se: kikwi neli.	Si, pero es verdad de lo nos dicen, unas plantas son medicinales y ya las ocupa uno.
Yehwa yo:n.	Eso es.
Ke:mah. Mm.	Sí, mm.
<i>Pues</i> yehwa sah yo:n neh nimitstahtanilia, tasohka:matik.	Pues nada más eso de lo que yo te cuento, gracias.
neh nimono:tsa niRubén Macario, niwa:le:wa de Chilcuauhta	yo me llamo Rubén Macario, vengo de Chilcuahta
wa:n nipowi nika:n <i>cerca</i> San Miguel.	Y pertenezco en San Miguel Tzinacan.
Pos ka:n teihsá:, no: yehwa neh tein tine:chilwih, ihkó:n timonohno:tskeh, timotapowihkeh, pos miak tasohka:matik ke:mah. Neh nimono:tsa niMaría Salazar Osollo, niwi:tsa de San Miguel.	Pues no es nada, pues de todo lo que me has contado, hemos platicado. Yo me llamo María Salazar Osollo, vengo de San Miguel.
Ke:mah, niki:xmattok, yo:n xohxoktik n' ikowyo no:, wa:n se: kito:ka wa:n ye:kniman selia.	Si, la conozco, esa tiene el tallo de color verde, se siembra y al sembrarlo luego, luego retoña.
Ke:mah, niki:xmattok yo:ni, yo:n kihtowa semi no: kwaltia para se: kichi:wa, para ke:meh yo:n mah ika se: takola:lti. Wa:n semi selia.	Si, la conozco, dicen que los troncos de esa planta sirven para hacer cerca viva y luego luego retoña.
yehwa yo:n ompa se: kikehketsa yo:n kowtsitsí:n,	es ahí donde se colocan los palos del te:nkwa:kwalaxo:chit.
yehwa yo:n tein tikihtowa tehwa:tsi:n.	eso es lo que tú me comentas.
Neh nikmattok, neh niki:xmati neh te:nkwa:kwalakowit.	Yo sé, yo lo conozco como te:nkwa:kwalakowit.
Te:nkwa:kwalakowit. Ajá.	Aha. Te:nkwa:kwalakowit.
Ke:mah, eheh, ke:mah.	Si, si.
ke:meh yo:n komo tehsá: se: kito:kak wa:n para a:mo no:	o para proteger algún tipo de cultipo para que no
A:, n' a:mo.	Ah, no.
Pos pané: a:mo okachi kikwah tapialmeh. Ke:mah. A:mo nikita ox kikwah tapialmeh.	ues  los animales no se alimentan de las hojas del te:kkwa:kwalaxo:chit.
Ka:mpa ika eski.	Se da en cualquier parte.
Ajá.	Aha.
Ke:mah, yo:n ka:mpa tiktsi:nta:li:s wa:n niman selia. Ke:mah, mochi:wa miak.	Si, ese tronco donde quiera que lo siembres, luego retoña. Si, al retoñar, crece mucho.
Pos semi kwaltsi:n ke:meh i:n nochi se: kihi:xmati. Pos, ne:chtapohpolwi, miak i:pa yehwa sah yo:n niknekia nikahsika:matis no:,	Pues es muy bueno que uno sepa de todo. Discúlpame, nada más eso quise preguntarte,
kox tiki:xmattok tehwa:tsi:n. Pos tasohka:matik miak, neh nimono:tsa niRubén	si acaso conocías. Pues muchas gracias, yo me llamo Rubén.
Macario, niwa:le:wa de nika:n Chilcuauhta, nipowi nika:n San Miguel.	Macario, vengo de Chilcuauhta, San Miguel.
A:mo teihsá:, ta: kwali a ihkó:n timotapowiah, ika yo:n mah timonohno:tsaka:n ya nikilia neh, tasohka:matik ke:mah tein tine:chilwih no: neh,	No es nada, es bueno que conversemos de lo que sabemos, también te agradezco de lo que me has contado, 
neh nimono:tsa niMaría Salazar Osollo, niwi:tsa de San Miguel.	yo me llama María Salazar Osollo, vengo de San Miguel.
A:mo nikmati yo:n, ka:ni yo:n kikwitih,	Yo no sé de donde lo traen, 
no: yetos sah ka:ni mochi:wa.	debe haber un lugar especifico en donde se produzca ese tipo de flor.
Pero a:mo nikmati ke:ní:w motano:tsa, pero ne: ahkwa:kopa kikwitih.	Pero no se cómo se llama el lugar, pero van a traerlas por allá arriba
Ompaka ne: para ahkokopa 'kwitih.	Las traen de por allá arriba.
Pero a:mo nikelna:miki ke:ní:w motano:tsa. Pero neli yo:n ompa ko:nkwih.	Pero no recuerdo el nombre del lugar. Pero sí, las traen de por allá arriba.
¿Wa:n yo:n xo:chitsí:n ke:ní:w mono:tsa?	¿Y cómo se llama esa flor?
Tewi:tso:t.	Tewi:tsot.
Pos tehwa:n i:pa tiki:xmatih, nejó:n, tewi:tso:t. Eh, tewi:tso:t. Mm.	Pues nosotros la conocemos con el nombre de tewi:tsot. Si, tewi:tsot. Mm.
Pos miakeh yowih, nochi n' tein, tein ma:lto:mohmeh yetokeh.	Van muchas personas, todos los que son mayordomos.
tein ma:lto:moh yetok tein taeka:ntok pos yeh tikiliah tein we:i tota:tah.	El mayordomo mayor, es quien tiene el santo patrón del pueblo.
Yehwa yo:ni, komo moyo:le:wkeh nochi,	Eso es, entre todos se comunican, 
Ajá. Wa:n yo:n,	Aha. Y eso, 
Yehwa.	Él.
Ke:mah, yehwa n' tein, tein ompa ne: nejó:n yetikah,	Si, el que está ahí, 
yehwa n' tein taeka:ntok. Wa:n ompa sepa se: kitohtokatok.	Es el patrón mayor. Y hay otro que le sigue.
Pos mosempale:wiah no:.	Pues entre todos se ayudan.
Mosempale:wiah.	Se ayudan entre todos.
Ompa ya n' kwi:kah, ompa ya ika tachihchi:wah pero komo nochi mopale:wiah.	Las llevan a la iglesia para arreglar los altares de cada imagen, claro pero si todos los mayordomos ayudan en la elaboración.
Wa:n komo a:mo nochi mopale:wihkeh pos a:mo nochi kintachihchi:wiah yo:n de xa:ntohkone:meh. Ke:mah.	Si algun mayordomo no ayuda no arreglan el altar de la imagen que lo tiene bajo su custodia. Sí
Neli ke:meh tikihtowa tehwa:tsi:n,	Es verdad como lo comentas
se: kichi:walti yo:n malto:mohyo:t.	uno sea el mayordomo de una imagen
Ke:mah.	Si.
Entó:s neh yo:n wa:lahka wa:n ne:chitako ke:meh ohpa.	Vino a mi casa como dos ocasiones.
a:mo wel titai:xnamikih, ke:meh toxola:l pos neli no: titata:kamatih.	no podemos rechazar cuando nos invitan  a ser mayordomos, pues se trata de nuestro pueblo.
No: nikchi:waltih de n' mayo:lto:mohyo:t.	Si, también colaboré en la mayordomía.
A:, ke:mah.	A, si.
Ajá.	Aha.
Wa:n yo:n 'tama:tokotsohtiwih ya, ne:n no: ne:chnawati:koh, kihtowah xa: nikta:kamatiskia tiko:nkwiskiah seki,	Ya muy próximo a la fiesta del pueblo, vinieron a avisarme para que los apoye en ir a traer algo, 
Pero neli ke:meh tehwa:tsi:n tikihtowa neh a:mo no: nikmati ka:ni n' onkak.	Pero es verdad, como tu comentas, yo tampoco sé en donde se da esta flor
"¿Wa:n ke:ní:w motano:tsa?" Kihtowa, "Pos, tikitatih ka:nika:wí:n tiowih, tiowih", kihtowa, "por nika:n Santa Cruz	¿Y cómo se llama el lugar? Dice, "Pues ya veremos por donde nos vamos" dijo, "Por Santa Cruz
*o* tiowih nika:n Tepeyahualco.	ó vamos a Tepeyahualco.
ne:chi:xtalihkeh", nikilia, "mah nitapale:wi, pos nitapale:wi:ti", nikilia, "wa:n kipia ke tikchihchi:watih	me propusieron para apoyar en estas actividades, pues voy a ayudar para la hacer 
talna:miki:lis ke:meh ne:ka to:nal", nikilia, "te:chka:wilihte:wkeh n' towe:ita:twa:n", nikilwia.	lo que se viene haciendo desde hace tiempo, así le dije, lo que nos dejaron nuestros antepasados, le dije.
Te:chkwite:w n' tepos wa:n tiowih, wa:n tiowih, wa:n tiowih, ne: ka:mpa tiahsitia:yah ya,	Nos fuimos en camión, íbamos avanzando poco a poco y ya cuando nos íbamos acercando al lugar, 
tina:lkalakkeh wa:n neli ne: ka:mpa tiahsikeh,	nos desviamos y allá donde llegamos
xo:chitsí:n. Neli nel onkak.	las flores. Hay muchísimas.
Ke:mah ta: onkak neli n' kihtowah wa:n neli n' kihtowah ka:mpa yo:n onkak neli kihtowah ke no: ye:kwitsyoh.	Si, Dicen que hay bastante, las flores tienen muchas espinas.
Ye:kwitsyoh wa:n neli ke:meh i:n tikihtowa tehwa:tsi:n de timiakeh pos ihsiwka timopale:wihkeh,	Tiene muchas espinas y es cierto como tú comentas, como vamos varias personas para cortar las flores, pues lo hacemos muy rápido, 
Ke:mah.	Si.
Yo:n tamali:nich tiktehtekkeh seh se:, seh sentakoto:n wa:n	El lazo de ixtle lo cortamos en pezados y
Ke:mah.	Sí.
Wa:n neli yeh kikowaya wa:n neh nikona:ketsaya pero neli yehwa ne:, nejó:n,	Y es cierto, él compraba las flores y yo solamente iba a ponerlas en el altar, pero 
Ke:mah.	Si.
Wa:n neli n' kihtowa ke neli ye:kwitsyoh.	Y es verdad, él me contó que las flores tiene muchas espinas
Yehwa yo:n neli. Yehwa yo:n neli.	Eso es. Eso es.
Wa:n kihtowa, "wa:n kinekih" kihtowa "mah se: kwi:ka" kihtowa, nejó:n, yo:n tepos tein ika nantate:xi:mah. Ke:mah, yehwa yo:ni kwi:kayah neli wa:n neli pos neli kiniwi:ka tepos.	Y dice, "y quieren" dice "que uno lleve" dice, "el hacha". Sí, llevaban el hacha.
nejó:n, xa:ntohtsitsi:n,	imágenes dicen, 
No:, nejó:n, tsahtsiki a ke ehko ya	conforme se va acercando al pueblo, el conductor empieza a  pitar para anunciar que han llegado
Ke:mah.	Si. 
Entó:s ihwa:k a yo:n kihtowah, xki:xti:ka:n ya kihtowah n' popo:ch wa:n tiowih tikpopo:chwi:tih.	Entonces, es cuando preparan el sahumerio para encontrarlos y sahumarla flor y la gente que fue a traerla.
Neli pe:wak tikpopo:chwiah.	Empezamos a sahumarlas flores.
Wa:n ompa yo:n para kikalakihkeh kalihtik a, ompa ya ne:n ka:mpa tein, tein ma:lto:moh tein we:i xa:ntoh. Mm. Ke:mah.	y luego ya lo metieron dentro de la casa del mayordomo del patron del patrón del pueblo. Mm. Si.
tiknohno:tsato neli yo:n tio:tak wa:n pe:wkeh tikilwiah ya ke:ní:w n' totaxkaltsi:n tikilwiah pos	regresamos en la tarde y le comentamos como vamos a hacer con la comida, pues le comentamos 
Tein neli, yehwa tak nochi yowal yo:n motekiti:ltihkeh yehwa yo:n tokni:wa:n, kichi:wkeh seki tamaltsí:n.	Quizá él y su familia trabajaron toda la noche, prepararon unos tamales.
Yo:n tamaltsí:n kichi:wkeh wa:n kichikiwketskeh wa:n ke:mah kikwite:wkeh ya.	Elaboraron los tamales y los pusieron en una canasta y los llevó allá donde fuimos a traer las flores.
Ke:mah, ta: kwi:kahya neli, ke:mah, neli yehwa se: kichi:wa neli tamaltsí:n. Wa:n komo a:mo yehwa emo:ltsí:n mah se: kimana wa:n mah ika se: kipi:ki n' taxkaltsí:n. No: kwaltia. Ke:mah.	Si, ya los llevan, si, uno prepara los tamales o puede ser que uno prepare frijoles y hace uno envueltos de frijol. También se puede. Si.
Wa:n nochi yo:n o:me, o:me mayo:lto:mos, tein, tein tatohtokatok wa:n tein tayeka:ntok,	Y lod dos mayordomos que encabezarán la fiesta del pueblo, el mayor y el menor de las dos imágenes, 
mah tikihto:ka:n tehwa:n a:tsí:n. Tiahsikeh n' ompa ne: pe:wkeh 'tate:xi:mah.	llevaron agua para beber. Al llegar allá, empezamos a cortar.
pe:wkeh titakwah ya, 'tamahse:wah ya.	empezamos a comer, comimos.
'Tamahse:wkeh.	Ya comimos.
Mm, ke:mah.	Mm, si.
tikpowak sah ka:nachi tikwi:kati, pos achi xwi:ka sah.	ya sabes cuantas vas a llevar, pues es la cantidad que debes llevar.
tiehkokeh neli nika:n icha:n mayo:lto:moh, neli ke:meh tikihtowa te:chna:mikkeh ika ne:n popo:ch. Tiahsikeh wa:n 'tatemowihkeh wa:n	llegamos a la casa del mayordomo y es verdad, al llegar ahí nos encontraron con sahumerio. Luego empezamos adescargar y
katí:n to:nal timoka:watih para tikwitsyohxi:matih ya.	qué dia vamos a reunirnos para quitarle las espinas a las flores.
A: yehwa yo:n, seki tikwitsyohxi:ntiowih, seki kiewalohtiowih ya wa:n timose:panpale:wihkeh nochi ke:ní:w tikchi:waskeh wa:n	A, asi es, unos le van quitando las espinas y otros ya empiezan a hacer las ruedas, entre todos nos ayudamos y
Wa:n ke:mah para pe:wa kiewalowah ya.	Y luego ya empiezan a hacer las ruedas.
ahsitiw a n' to:nal neli para talwiki:xti:ti, ne:n, mayo:lto:moh.	conforme va acercándose la fiesta para la celebración religiosa que hará el mayordomo.
Titachihchi:watoh, tikyewalo:toh, nochi timosempale:wihkeh wa:n	Con la ayuda de todos hicimos el arreglo floral y adornamos la iglesia,
neli yo:n tamitachihchi:wkeh ke:mah pe:wak a tatohtoponiah ya.	al terminar de arreglar, empezaron a echar cohetes.
tein yo:n nochi tayewalo:l ya, nochi yetok a, kihtowah ke ahsik a nochi,	arregladas, cuando todo lo han hecho, suficiente para arreglar el altar de la imagen mayor eu es patron y las otras imágenes menore.
Sake:ra ni:xne:sik ke no: nikimpale:wi:to. Ke:mah.	Por lo menos hice presencia que ahí estuve para apoyarlos. Si. 
Ke:mah.	Si.
wa:n ke:mah nejó:n sepa nochi se: kipopo:chwia wa:n ke:mah para kahxitiah ya, ne:n, nejó:n, tio:pan ya.	y luego otra vez se sahúman los arreglos florales antes de llegar a la iglesia.
Ke:mah.	Si.
Ajá. Yehwa yo:n we:i. Ke:mah, ke:mah. Nochi kichihchi:wkah.	Aha. Ese adorno grande. Si, si. Habían arreglado esa manera.
Yo:n, yo:n kipilowah. Nochi kichihchi:wkah. Eh, nochi kichihchi:wkah wa:n nochi yo:n tehteke:span nochi kita:lihkah.	Ese arreglo lo ponen colgado. Lo habían hecho y habían hecho un arreglo sobre la superficie de la pared, tapizando con las flores.
Ke:mah.	Si.
timosempale:wihkeh neli, pos a:mo na:kin timoka:ka:wilihkeh, neli ke:meh tehwa:tsi:n tine:chnohno:tstok, neli iwki yo:n kichi:wkeh wa:n	entre todos nos ayudamos, todos participamos, así como tú nos comentas, así fue y
Eh, no:, no: kichi:wkeh.	[en esa parte] también adornaron.
Wa:n tami nochi yo:n, 'tamitahtalpihkeh ke:mah pe:wak 'tatohtopo:niah ya neli yehwa yo:n, yehwa yo:n,	una vez que terminan de rregalar la iglesia, empiezan a echar cohetes, así lo hacen,
wehka:wkayo:tanemili:lis, wehka:wkayo:talna:miki:lis neli n' kichi:wayah.	nuestras costumbres que traemos desde hace mucho tiempo lo venimos haciendo.
Yehwa yo:n. Ke:mah. Yehwa yo:n neli.	Asi es. Si, eso es verdad.
Ah, pos neli.	 Ah, pues, es cierto.
A:mo sepa ok. A:mo, pos neh n'mattok ke neli ihwa:k yo:n tachihchi:wah, neli ke:meh itech,	Ya nunca fuiste. Ya no, pues yo se que el arreglo de la iglesia lo realizan en esos dias,
Ke:mah.	Si.
N' ompa, ne:n, kitemowihkeh ya wa:n nochi tikwa:leka:nkeh ika popo:chtsi:ni.	Una vez que lo bajaron, por delante llevaban el sahumerio
Yehwa ya n' tein, tein nejó:n, a:kin tein taeka:ntok.	El mayordomo es el que trae el sahumerio en la mano  lo trae el mayordomo del patrón.
Timiakeh katka, ke:meh, tiahsiah ke:meh tichikwe:yi:n, ne:n, tisiwa:meh tiahkah.	Éramos muchas, fuimos como siete mujeres. 
